순서,리뷰
16,"그냥 일반 전자레인지만 쓰다가 이런 제품을 처음써봤는데
너무 멋져요. 특히 디자인도 이뻐서 너무 마음에 들어요."
17,"집에 오븐겸 전자렌지겸 에어프라이기겸 구매했어요
가격대는 좀 있지만 그만큼 실용도가 높네요~!
디자인도 너무 세련됬고 수비드도 돼서 너무 좋아용"
18,"새로 이사오면서 구매했어요 확실히 오븐기능이 좋아요
전자레인지 기능은 안써봤습니다"
19,색상도 예쁘도 사용하기도 편리해요!!
20,"광파오븐
에어프라이어
전자렌지
오븐
3가지가 복합적으로 되니 자리차지도 적고
완전 편해요"
21,광파오븐이지만 전자레인지 기능도 괜찮고 오븐기능도 잘되어서 좋아요! 에어프라이기도 잘쓰고 있습니당!
22,"오브제 컬렉션이라 고급스럽네요
에어프라이기랑 전자레인지 오븐 기능이 한번에 있어 효울적이네요
잘 사용하겠습니다"
23,생각보다 크고 무게가 많이 나가며 밑받침이 날카롭습니다.
24,"베이지라 했는데.. 화이트에
베이지 한방울 입니다;
옆에 냉장고랑 비교해보세요~~
근데 기능은 아주 좋아요~~~
전자렌지 성능도 아주 뛰아나서 좋네요"
25,"외관이 깔끔해서 선택했어요
그전제품도 LG오븐이라 사용하기도 쉬웠구요~^^"
26,다양한 기능이 있어 요리하는데 너무 편합니다
27,"오븐이랑 전자렌지,에프 다 가능해서 좋습니다.
전력도 쎄서 좋아요"
28,"신혼살림템으로 장만한 LG디오스 오브제컬렉션 광파오븐!! 핑쿠핑쿠한 색상도 화사하니 너무너무 맘에 듭니다^^ 이효리광고 보자마자 너무 갖고싶었던 오븐이에요~~ 레인지,오븐,구이,토스트,에어프라이등등 10가지 기능을 탑재하고 자동요리 메뉴얼과 씽큐앱 사용으로 맞춤형 자동요리 설정도 가능하여 유용하게 잘 사용할것 같아요!"
29,오븐 에어프라이 전자랜지까지.한번에 다되서 너무 좋아요
30,"오븐의 익힘이 너무좋네요!
공간도 그리크게차지않해서 좋아요"
31,"너무 좋습니다.
요리할 맛 나네요!"
32,직관적이고 예쁩니다
33,잘 사용하고 잇어요 편리해요
34,가전은 역시 LG가 최고
35,"성능이 좋고 디자인이쁨.
전자렌지 기능이 어떨때는 뜨거움이많이느껴지고 가끔 약한느낌을 보이기는하지만 크게불편함이 없어 추천드림."
36,다양한 음식 조리가 가능해서 아주 좋아요.
37,"이사 후 모든 가전을 엘지 제품으로 구성했습니다. 앱과 연동성, 디자인, 성능 무엇하나 빠지지 않네요."
38,디자인 깔끔하고 기능 잘돼요
39,"복합 오븐, 전자레인지 등 모두 하나로 사용가능한 점, 디자인이 예쁜점 만족합니다!"
40,"사용하던 전자렌지가 과열로 고장나서 새로 사는김에 광파오븐으로 샀어요.
복합오븐은 전자렌지도 시원치않고 에어프라이어 기능도 별로라고 해서 걱정했는데 막상 사용해보니
전자렌지 1000W라 기존에 사용했던 700W 전자렌지에 비해 오히려 더 빠르게 잘 되고요 에프도 잘 되네요.
맛 없어서 처치곤란 이었던 귤 썰어서 귤칩도 만들었는데 쫀득쫀득하게 귤 말랭이도 잘되고 전력사용량이 ThinQ앱에서 바로 확인 가능해서 좋아요.
청소 하는게 걱정이긴한데 스팀기능이 있어서 그나마 때가 잘 불려질거 같긴합니다.

다른분들 리뷰보니깐 수납장안에 딱 맞게 넣고 사용하시는 분들이 많은데, 사용해보니 오븐 뒤쪽은 열이 거의 발생 안 하는데 위쪽과 특히 양옆에서 열이 엄청 나오기때문에 수납장 공간 넉넉히 두고 사용하셔야 될거 같아요.
수납장 양쪽 공간 충분한 여유없이 빌트인 모델처럼 사용하면 열기로 인해 가구 뒤틀림도 있을수 있고 특히 무엇보다도 열기로 인해 오븐 수명이 크게 단축될 듯 합니다.
구입하실 분들은 참고하세요.

저는 인조대리석 위에 올려놨는데 오븐 아래에도 살짝 열기가 느껴지길래 실리콘단열매트 깔고 사용 중입니다."
41,"에어프라이, 전자레인지, 오븐 등 다양한 기능이 하나에 있고 요리가 편해졌어요! 새제품이라 그런지 기능도 아주 잘되고 만족합니다ㅎㅎ"
42,할수있는 요리가 많아요! 생각보다 커서 광파오픈레인지장도 별도 구매했어요
43,전자레인지가 고장나서 바꾸는김에 최신형 광파오븐으로 교체했어요! 디자인이 마음에 들어요. 집에 있는 제품들이 다 엘지니 앱 하나로 컨트롤 할 수 있어서 진짜 편합니다 맛있는 요리 많이 만들기를... ㅎㅎ
44,다양한 기능이 있어서 다채롭게 사용 가능하다는 장점이 있지만 매번 뭘로 돌리지 고민이 생깁니다 ㅎㅎ
45,광파오븐 원조 오브제!!
46,"제품 출시되자마자 눈 여겨 봤던 제품이에요
수비드기능까지 되니 더더더 맘에 들었던 제품
인테리어 하며 이 제품에 맞춰 일부러 장도 짜뒀어요 ㅎ
장이 들어오니 더욱 더 빛나는 공간이네요
광파오븐이라 전자레인지 기능 떨어질줄 알았는데 아주 우수합니다 ㅎㅎ 맘에 정말 들어요
요리 자주 해먹어야겠어요"
47,기존 전자랜지 사망으로 구매 했습니다. 기왕 사는거 가장 좋을걸로 갔어요. 와이프가 좋아 하네요. 아직 사용 전이지만 만족 합니다.
48,작동법도 쉽고 음식이 맛있게되요
49,기능이 많은데 작동이 쉬운편입니다
50,"이주정도 사용했는데 생각보다 만족도가 높습니다. 요리도 하기 쉽고 조작도 쉬워서 편리합니다.!!
추천해요"
51,만족합니다 굿굿!!ㅎ
52,설치기사분들 친절하시 제품 이쁘고 좋아요
53,"2024년 최신형이구요. 광파 오븐 중 가장 좋은 모델에 속합니다. 그만큼 기능도 많고, 성능도 좋고, 저가 모델에 없던 온도 수동 조절 기능 등을 갖춰 부족함이 없어요. 회전 접시가 필요 없는 모델이라 더욱 편리하기도 하구요."
54,너무 이쁘고 기능도 많아서 최곱니다
55,성능 좋도 디자인도 너무 맘에들어요! 강력추천합니다
56,전자레인지 에어프라이어를 한번에 사용할수 있어서 진짜 좋아요
57,아직 입주완료 전이지만 신혼집으로 먼저 배송 받았습니다 전자레인지 에어프라이 오븐 스팀 기능이 정말 많은데 차근차근 잘 사용해보겠습니다~ 요리할때 뭔가 든든할거 같습니다
58,올인원 광파오븐 삶의질이 올라갑니다!
59,"첨에 보고 부피에 살짝 깜작 놀라긴했는데 모든기능이 하나로 사용가능하다고 하니 믿고 써봅니다.
주방에서 요리하는 즐거움을 느껴볼께요"
60,"신혼 가전으로 구매있어용 전자레인지 에어프라이기 오븐 한번에 된다길래 구매했고, 앞으로 맛있는 요리 많이해서 남편이랑 먹어볼게요! 우선 전자레인지로 밖에 아직 사용 못했지만 성능 좋은것같아요!!ㅎㅎ"
61,크기가 커서 세탁실에놧지만 너무마음에들어요!
62,너무이쁘고 깔끔하고 요리가 너무너무잘돼용
63,"전자레인지, 오븐, 에어프라이어 한집에 두기 너무 좁았는데 광파오븐 하나로 해결하게 돼서 너무 행복합니다."
64,인테리어 소품으로도 좋아요 예쁘네요
65,"여러가지 음식에 맞게 조절할 수 있다는 점이 좋아요! 🙂
수비드, 전자레인지, 오븐, 에어프라이어등 다양한 조리 방식이 있어서 유용합니당
신세계에요!!
아쉬운 점은 에어프라이어 모드에서 제가 옵션을 조절할 수 있다면 좋을 것 같고, 대기모드라서 종료가 없다는 점..? 이 조금 아쉬웠어요! 전기를 아주 조금 쓰겠지만 뭔가 끄지 않는다는 찜찜함이 있었습니다ㅠㅡㅠ"
66,기능이 다양해서 자주 사용하고 있습니다!
67,"사용하던 광파오븐이 고장나서 전자레인지로 바꿀까하다.
한달에 비용이 저렴한 구독제품을 만났습니다
예전에 사용하던 광파는 에어프라이어 기능이 없었는대
이제품은 에어프라이어 기능이 있어 거지고 있는 에어프라이기를
더이상 사용하지 않을꺼같아요
모든기능이 한기계로 사용하니 편하고 기능도 다양해서 좋습니다"
68,좋은상품 잘쓰겠습니다
69,좋아요좋아요 강추해요
70,"사용하던 레인지가 갑자기 고장 나는 바람에 보내 드리고 새로 들인 광파오븐 이쁘네요.
맛난 요리 만들어서 가족 들이랑 먹어야 겠네요."
71,오븐 전자렌지 에어프라이 모두 합쳐져서 너무 편하고 좋네요~~ 잘 쓸것 같네요
72,오븐이 없어 구매 하려고 찾던중 최신으로 나오는 오븐이 마침 구입시기에 맞춰져서 구매하게되어 구매후 너무 잘 이용하고 있습니다~
73,"기존 에어프라이기는 사용하기 불편하여 알아보던 중
에어프라이와 전자레인지, 오븐, 토스트, 찜 다양한 요리를
기기 하나로 모두 해결 할 수 있는 점이 너무 좋았어요!
크기도 다양한 요리를 할 수 있게끔 너무 작지도 크지도 않아
공간도 너무 차지하지 않아 더욱 좋습니다!
디자인도 깔끔하게 색상이 잘 나와서 인테리어 해치지 않아
백점입니다ㅎㅎ 그리고 씽큐앱에 연동하면 요리레시피도 추천해줘서
요리 잘 못하시는 분들이 사용하기에도 좋을 것 같아요!!
오븐팬이 너무 무겁지 않아 세척할 때 힘들지 않아서 좋구요
간편한 작동법으로 사용할 수 있어 매일 매일 사용하며 맛있는 음식
만들어 먹고 있습니다ㅎㅎ!"
74,매일 사용중이에요! 용량도 크고 너무 좋아용 지인분들한테도 추천햇러욥!!
75,"쓰던 제품이 고장난 김에 신제품으로 바꿨어요.
비싼 맘큼 많이 좋아진 느낌이 드네요.."
76,이거저거 편하게 해먹기 좋아요
77,"구매후 잘 사용하고있어요
만족합니다 강추👍👍👍"
78,이것저것 기능이 엄청많아서 편리하고 좋아요!
79,전자레인지+오븐 기능이 있는 제품 보려다 디자인이 타 제품보다 뛰어나게 이쁘더라구요 이걸 캐치한 남친이 입주 기념으로 선물해줬답니다 셀 수 없는 많은 기능으로 1년간 레시피 공부해야겠어요 :)
80,"성능이 굉장히 뛰어납니다.
전자렌지 기능과 오븐등 복합적인 기능을 제공하는 것도 너무 편하고 좋네요."
81,"구입한지 두달째입니다
제품 하자 없이 잘 사용하고 있고
만족도도 높습니다!!!"
82,급하게 삿고 포인트 남은거로 삿는데 회전 안하니 뭔가 어색한데 렌지용도로는 잘 쓰고 잇어요
83,"바쁘다바빠 현대인들의 필수품 전자레인지, 에어프라이어, 오븐 3가지 기능은 한 번에 담은 광파오븐렌지! 신혼 가전에 꼭 필요한 제품입니다. 디자인도 너무 예쁘고 밀키트나 냉동실에 있던 음식들이 광파오븐에 들어갔다 나오면 요리완성이예요 :)"
84,디자인 깔끔하고 너무 좋습니다
85,디자인이나 기능 모두 맘에듭니다~
86,"결혼할때부터 23년간 사용한 전자레인지를 이번 기회에 최고사양으로 바꿨어요
한대로 렌지 오븐 에어프라이어 까지 자리도 많이 차지 안하고 너무 간편하게 사용할 수 있어 좋아요
자동요리 너무 편하고 스팀기능 세척기능 등등등
모든 기능을 제대로 사용하려면 공부 좀 더 해야겠어요~^^
사용할때마다 기분 좋아지는 광파오븐~
가전이 사람을 행복하게 해주네요~**"
87,"오븐, 에어프라이어, 전자레인지 기능이 모두 있어서 공간활용도 좋고, 사용하기 편리합니다."
88,너무좋아요~~ 깔끔하네요 ㅎㅎ
89,자동요리 기능 간편하고 유용해요!
90,기사님들도 친절하시고 제품도 너무너무 이쁘네요
91,비싼편이긴 하지만 여러기능이 있는걸 한번에 사용할수 있어서 공간을 아끼기는 좋은것 같습니다. 다만 뒤쪽에 좀 튀어나온 공간이 있어서 놓으려는 공간에 여유가 좀 있어야 합니다.
92,아주 좋습니다 잘 사용하고 있습니다
93,여러가지 요리하기 좋아용
94,"오븐, 전자레인지, 에어프라이기 다되서 정말좋아요~!!"
95,아직 사용해보지 않았지만 기능도 많고 사용하기에 너무 편리할거 같아요
96,"오븐도되고 에어프라이어도되고 전자레인지까지
와이프한테 혼나고 조용히 안주대펴서 맥주먹을때 좋아요"
97,손쉬운 조작 및 관리가 편해요
98,"전자레인지, 오븐, 에어프라이기 모두 맘에 듭니다"
99,"한번에 여러기능이
들어간 올인원
제품이라 공간 효율성및 심미성이 매우 좋습니다."
100,"이사하면서 전자레인지, 에어프라이어를 바꾸려 다 버리고 전자레인지만 구매 했었는데, 언니집에 갔더니 모든 기능을 다 갖춘 광파오븐이 눈에 들어왔어요. 그래서 전자레인지 취소하고 광파로 매입했는데 모든 제품들이 ThinQ에 연결되어 청소시기까지 알려주네요"
101,모든 기능이 다 들어가있어서 올인원으로 좋아요!
102,가전은 역시 엘지!! 최고입니다 역시
103,예쁘고 실속있고 너무너무 좋아요~^^굿굿굿ㅋ
104,완전 굿이에요 요리도쉽고 무엇보다 시간이빠르게 만들어집니다!
105,"디자인 굿 성능 굿

스팀기능 있으니 너무 좋아요 여러가지
요리 해먹기 딱입니다"
106,맛있는 음식 와이프가 해준다네요..
107,가전은 역시 엘지 입니다. 색상도 너무 고급스럽고 빌트인 처럼 서랍장 문짝 떼고 넣으니 딱 좋네요. 광파오븐으로 맛있는 음식 많이 만들어 봐야겠어요.
108,광파오븐 처음 나왔을 때 사용했었어요. 새로 바꿨는데 성능도 많이 좋아지고 만족스럽습니다.
109,요남님 광고보고 구매 결정했는데 좋을것 같아요
110,"아직 많이 사용은 안해봤지만

삼겹살, 군고구마만 해봤어도 기능이 심상치 않음을 느꼈습니다."
111,"오븐장에 딱맞구 여러기능이 한번에 있어 좋아요!!
맛있는거 해먹어야겠네요"
112,스팀청소 기능이 있어서 구매합니다
113,"하나의 제품으로 전자레인지,오븐,에어프라이 모두 다 이용할수 있어서 효율적입니다! 디자인도 넘이뻐요👍"
114,"이게 필요할까???? Yes!!!!!!!
전자레인지 오븐 에어프라이어
하나에 모든 기능이 있어서 여러개 살 필요 없고 하나로 해결!!!! 요즘 이걸로 요리 엄청 해 먹어요 ㅋㅋ넣기만 하면 이렇게 돼요"
115,"오븐, 전자렌지, 에어프라이어가 하나로~
공간 절약 및 성능, 기능 등등 올인원이네요
특히 스팀 기능도 되어 촉촉한 스팀이 필요한 쿠킹에도 활용할 수 있어 더욱 좋네요

디자인도 세련되고, 씽크대 규격장에 아주 잘 맞습니다."
116,"전자레인지 광파오븐 에어후라이 기능 모두 훌륭
간편한 조작 굿"
117,"신혼집으로 이사를 가게 되어서 전자레인지를 살까 에어프라이어를 살까 오븐을살까 다 사야 할까 고민을 하다가 광파오븐이 만능이라고 해서 한번 구매하게 되었어요.

본가처럼 주방이 크지가 않아서 세 가지를 다 두기에는 무리였을 것 같은 데 광파오븐 하나만 있으니까 간편하고 디자인도 너무 예쁘고 고급져 보이고 기능도 좋더라구요 무엇보다 청소도 편한것 같아요.

전자레인지처럼 단호박을 돌려 보았는데 출력도 굉장한지 8분 만에 바로 익어 버렸어요!!

단점은 아직까지는 없는 것 같고, 만족도가 큰 제품이에요 사이즈가 생각보다 크기 때문에 주방 사이즈를 재고 구매 하시는 거를 추천 드려요 저는 하부 전자레인지 선반장에 두려고 했다가 안들어가서 주방 위에다 놓았는데 나름대로 너무 예쁜 것 같아 만족해요 🤍"
118,아침마다 닭가슴살 굽고 전자레인지도 사용하는데 아주좋아요
119,"이사를 왔는데 부엌이 많아 작아요..공간이 작아서 오븐 토스트 에어프라이어를 따로 살수 없었기 때문에 알아보다가 광파오븐을 알게 되었어요. 사실 구모델 찜해두고 있었는데, 새 모델이 나왔지 뭐에요. 훨씬 예쁘고 수비드 기능까지!!
한창 아기가 간식 만들어 먹일 시기라 오븐에 꾸워주려고 바로 구입.
전자레인지 에어프라이어 오븐기능과 토스트까지 모두 만족합니다^^
토스트도 바삭하게 잘 되고 생선도 겉바속촉, 냉동빵도 잘 구워집니다.
확실히 식은 음식 다양하게 되살려 먹으니 좋습니다.
추천추천합니다."
120,"디자인 성능 공간활용 완벽합니다
가전은 당연히 LG입니다"
121,사용방법이 정말 편리합니다
122,이쁘고 다양한 기능이 있어서 조아요!!
123,"전자레인지, 에어프라이어, 오븐, 식품건조기 등.. 못하는 요리가 없는 만능기기입니다. 이런 표현 듣는 기기치고 애매한 가전도 물론 많지만 LG광파오븐은 비싼값을 해요."
124,"오븐+에어프라이+전자렌지+쿠커
신혼집이다 보니 집이 좁은데요 위에 기기들 4개 두면 주방이 엄청 난잡합니다
광파오븐 1개로 다 해결되니까 너무 좋구요 요리도 잘됩니다
사용하기도 정말 간편하구요 요리 선택해서 시키는대로만 하면 됩니다 ㅎㅎ"
125,광파오븐 좋네요!!
126,이뿌고깔끔하고 기능좋아요 돈값합니다^^
127,"오븐, 전자렌지, 에어프라이어 등등의 기능으로 맞춤 요리로 편하게 요리합니다."
128,"성능 완~전 좋아요.
동생이 전 모델 광파오븐을 사용하는데
에프가 잘 안된다고 해서 알아보니 이번 버전은 열선이 위에 달려있더라구요.
에프 오븐으로 써봤는데 기능을 제대로 해주네요. 진짜 만족하는 제품!
활용도 엄청 많습니다."
129,"너무좋아요! 일단 디자인이최고예요.
전 모델의 갑툭튀 손잡이가사라지고 투톤 색상이 아름답게 그라데이션이 도어있어요 핑크는 너무이쁘고 기능도수비드 기능이 되어있어 좋아요 지금 고기 해먹는데 스팀 기능으로 너무 촉촉하니 맛있어요.
청소도 스팀기능으로 묵은 때 불려서 처리하면되니. 너무좋네요 최고예요

사랑해요 LG 💜"
130,"에어수비드기능이 있어서 좋아요
깔끔한 디자인이 마음에 듭니다"
131,"이사오면서 구매 했는데 생각보다 크네요 그래도 전자레인지,오븐,에어프라이 등 여러가지를 광파오븐으로 해결 할 수 있어서 너무 편할 거 같아요 :)"
132,"작년모델은 수동으로 조작이 안되고 올해 신형은 수동조작도 가능하다하여 비싸도 구입
디자인도 이쁘고 만족합니다"
133,크고 넉넉해서 좋아요 커틀럿도 잘 구워지네요
134,"오븐, 전자레인지, 에어프라이어까지 모두 하나로 쓸 수 있다는 점이 만족스럽습니다.
오븐 기능으로 치즈타르트를 구웠는데 정말 맛있게 잘돼서 만족스러워요."
135,"그냥 전자렌지를 살까 오랜동안 고민하다가 구입했는데 만족합니다. 맞춤 자동요리에서 생선구이, 단호박찜, 계란찜도 쉽고 찬밥데우는 것도 1분이면 끝! 쉽게 쉽게 요리 할 수 있는 것 같아 좋아요. 디자인도 깔끔하네요. 다만 열을 내는 가전 이다보니, 단독 플러그를 사용하는게 좋을 것 같아요. 그리고 설치기사님이 오셔서 높은 선반까지도 올려주셔서 감사했어요."
136,"기능이좋아요 이뻐요
여러개를 한번에 조리할수있어요
설명이쉽게 디스플레이에 잘나와요!"
137,"전자렌지, 에어프라이어,전기오븐을 같이 쓸 수 있어 편하고 좋습니다!!"
138,좋아요좋네요좋습니다.
139,"LG 디오스 오브제컬렉션 광파오븐
카밍 베이지 집에서 매일 조리 해요"
140,에어프라이.전자렌지 모두 너무 잘되네요.
141,"다양한 모드로 요리가 가능해서 좋아요

전자레인지랑 에어프라이어 기능을 많이 쓰네요

기름 튈까 아껴서 쓰고있습니더"
142,신혼 가전으로 구매했는데 역시 가전은 LG네요~!!
143,오븐이랑 전자레인지 굿
144,"오븐이 필요해서샀는데..전자레인지 에어프라이까지 다되서
너무 신세계 보유하던 전자레인지와 에어프라이는 나눔했답니다~^^"
145,잘쓰고 있어요 디자인도 예뻐요
146,소음도 작고 좋아요
147,최근에 이사하면서 사서 써보고 있는데 디자인도 깔끔하고 기능도 편리하고 다 마음에 들어요
148,평소에 갖고싶었던건데 너무 만족해요^
149,"에어프라이어 사려다가 하나로 다 된다는거에 매력을 느껴서 샀습니다.
일단 모양 너무 예쁘구요, 크기는 아주 큰 전자렌즈보다 더 큽니다. 다소 부담스러웠으나 ㅋ 디자인 너무 잘 나온듯 이뻐서 괜찮습니다. 각각의 기능을 다 잘하고요, 어플에 요리레시피가 가득가득한데 검색으로 ‘호박’치면 호박 들어간 요리를 다 검색해줘서 쉽고 좋습니다.
단점으로는 전력량이 쎄서 단독으로 사용하라 했는데 단독인데도 멀티탭이 나갔습니다. 그런데 주방에서 멀티탭을 한개만 사용 할 수 없어서 콘서트용 가능한 멀티탭 구매 했습니다. 또 다른 단점으로는 원래 고열인데 크기가 커서 그런지 주위 까지도 꽤 뜨뜻한 열감이 있습니다. 그래도 자체 팬 식히기 기능있어서 안심됩니다.
두서가 없었는데 자체 스팀청소 기능은 너무 좋습니다. 사람 만큼 깨끗하지는 않치만 초벌청소하고 돌리면 편하고 좋습니다.

여튼 에어나 전자렌즈나 오븐기등 뭔가를 하나 검색하고 있다면 이것을 선택하는것이 여러모로 좋아요~!"
150,디자인 깔끔하고 외관에 많은 버튼 없이도 요리되고 좋아요
151,디자인이 너무 이쁘네요 기능적으로도 만족합니다
152,"우선 디자인이 너무 맘에들어요~
오븐도 전자레인지도 에어플라이어 기능도 좋지만
맞춤형 요리기능이 있어 정말 좋아요~
저같이 요리 꽝에게는 최고예요^^"
153,"처음에는 예뻐서 끌리고 사용해보면 편리해서 만족합니다
우리 주방 인테리어의 완성입니다"
154,스팀기능 정말 좋습니다!!
155,"오븐, 전자레인지, 에어프라이어가 한꺼번에 가능하니 이거 하나로 충분해요"
156,저 공간에 전자레인지를 넣으면 딱이겠다 ! 해서 넣었더니 완전 딱 맞아서 뭐랄까 희열감 대박스 ^^.. 기능은 아직 다 사용해보진 못했어요 하지만 진챠 도아요…!!! 고민을 왜했지 싶을정도로 조ㅗ아요 ! 오븐두 좋구 ㅎㅅㅎ 다되면 알람오고 노래불러주니 좋구먼유
157,엘지광파오븐이라 아주 좋아요
158,전자레인지가 필요해서 산건데 이거 올해 신형 모델인 만큼 성능이 좋고 부가기능도 알차게 많다고 해서 기대를 품고 들여왔어요! 지금까지 전자렌지랑 에어프라이어밖에 쓰지 않았지만 요물이라는 걸 팍 느껴졌어요 ㅎㅎ 다음에 에어수비드 기능도 꼭 써보려고요!
159,"기능이 다양하고 앱에서 코스요리도 잘 알려줘서 사용하기 너무 좋네요~
서울 베스트샵 월드컵장역 적극적으로 추천드립니다. 아주 친절하시고 서비스의 철저하신 분들이 많아서 좋았어요~"
160,다양한요리에사용하고있어용
161,"광파오븐 카밍베이지 색상 구입했어요
아이 이유식 시작을 앞두고 오랫동안 썼던 전자레인지를 바꿔야겠다 싶어서 이왕 사는거 좋은 걸로 질렀습니다ㅎ
디자인부터 말모말모!!! 너무너무 예쁩니다
기능도 너무 많아서 요리 똥손인 저에게 너무나 안성맞춤인 제품이에요
그리고 생각보다 소음이 크지 않아서 좋았습니다
어제 밤에는 신랑이랑 닭꼬치 데워서 먹어봤는데 너무 맛있게 잘 먹었어요
앞으로 매일같이 쓸 것 같은데 기대됩니다"
162,"전자레인지랑 오븐 같이되서 너무너무 좋아여 한개로 모든걸 쓸수있다니!!!
전자레인지 성능도 너무 좋고 커서 좋아용!!"
163,디자인이쁘고 성능 너무 좋아요
164,"공간이 작아서 가지고 있던 전자렌지 당근하고
광파오분 샀어요
에프도 필요하고 전자렌지도 필요하고 오븐도 사고싶어서
ㅎㅎ 찜 기능이 있어서 좋은듯"
165,에어프라이어 다기능에 오븐 레시피 전송해서 할 수 있고 다양한 레시피가 있어서 좋은거 같아요
166,디자인도 너무 예쁘고 기능도 다양하고 정말 잘 구매했어요
167,"전자레인지, 에어프라이기 기능 제일 많이 사용하고있어요
저는 광파오븐이 제일 좋아요!!"
168,"전자렌지, 에어프라이어, 오븐까지 모든기능을 하나로 할 수 있어 정말좋네요. 아직은 떡, 고구마밖에 안해봤지만 앞으로 레시피 이용한 결과가 기대가 됩니다"
169,두가지 제품을 놓기에는 공간이 부족해서 큰맘먹고 구매했는데 잘한것 같아요:)
170,"최신모델로 산 것 후회라않아요!
통삼겹 아주맛도리"
171,너무 잘산거같아요 후회없어요 뛰어나요 ^^
172,생선 굽기에 최적화 되어 있음 레시피 직관적으로 잘 저장되어있어서 사용하기가 편함 세척도 편함
173,전자렌지 오븐 에어프라이 수비드 4가지 기능이 다 들어있어서 좋습니다
174,오래된가전을 에프와 전자렌지를 버리고 새롭게 구매했습니다. 각자 구매할까하다 그냥 광파오븐 으로 선택했는데 삶의 질 올라가네요~~저보다 우리신랑이 너무 좋아해요 너무좋고 만족합니다.
175,조리법도 많고 용도도 다양해서 사용하기 정말간편하고 좋아요
176,진짜 똑똑한 기능이 많아요 !! 요리 할때 한가지 음식은 타이머 맞춰서 맡겨놓고 ! 다른요리하면 딱 좋아요 ㅎㅎ
177,"전자레인지 에어프라이어 오븐
이 세가지 기능을 다 사용할 수 있다는게
혁신적이고 편하네요"
178,사용하기 좋아요~ 그런데 아직 미숙하다보니 에어프라이기나 오븐은 뜻대로 잘 되지 않네용.. 사용법을 잘 숙지해여겠어용.. 디자인은 너무 이쁘답니당
179,자동요리 모드로 완성도 있는 요리가 가능해서 좋아요. 하나의 기기로 여러기능이 가능해서 공간을 절약할 수 있어요. 디자인도 예뻐서 인테리어 효과도 있어요. 고민많이 했는데 완전 만족이에요.
180,이동성 활용성 편의성 최고!
181,냉장고장이 아직이라 사용전이지만 기대가 많이됩니다 ㅎㅎ
182,기능이 상당히 많습니다. 아주 마음에 듭니다.
183,"여러 브랜드 조사했지만 에어프라이어 전자레인지 등 필요한 기능을 하나로 갖고 있어 구매하게 되었어요. 디자인과 사이즈도 맘에 들고 부담가지 않아요. 아날로그식 다이얼형 시간 조정도 맘에 드네요,"
184,"마음에 들어요.
이제 요리도 쉽게 할 수 있을 거 같아요."
